fighter,opp_fighter,title_bout,weight_class,stance,opp_stance,male,diff_reach_cms,diff_height_cms,diff_weight_lbs,diff_age,diff_wins,diff_losses,diff_avg_sig_str_landed,diff_avg_sig_str_pct,diff_avg_sub_att,diff_avg_td_landed,diff_avg_td_pct,winner
Philip De Fries,Rob Broughton,False,Heavyweight,Orthodox,Orthodox,1,20.319999999999993,7.6200000000000045,-15,-3,-1,-1,-44.5,-0.525,-3.5,0.0,0.0,1
Michihiro Omigawa,Jason Young,False,Featherweight,Orthodox,Orthodox,1,-12.699999999999989,-7.6200000000000045,0,10,0,3,-25.25,0.025000000000000022,1.25,0.75,0.5,1
Jason Young,Michihiro Omigawa,False,Featherweight,Orthodox,Orthodox,1,12.699999999999989,7.6200000000000045,0,-10,0,-3,25.25,-0.025000000000000022,-1.25,-0.75,-0.5,0
Chris Cope,Che Mills,False,Welterweight,Orthodox,Orthodox,1,-10.159999999999997,-2.539999999999992,0,-1,1,0,66.0,0.27,0.0,0.0,0.0,0
Che Mills,Chris Cope,False,Welterweight,Orthodox,Orthodox,1,10.159999999999997,2.539999999999992,0,1,-1,0,-66.0,-0.27,0.0,0.0,0.0,1
Chris Cariaso,Vaughan Lee,False,Bantamweight,Southpaw,Orthodox,1,-7.619999999999976,-7.619999999999976,0,1,1,1,55.5,0.445,0.0,0.5,0.125,1
Vaughan Lee,Chris Cariaso,False,Bantamweight,Orthodox,Southpaw,1,7.619999999999976,7.619999999999976,0,-1,-1,-1,-55.5,-0.445,0.0,-0.5,-0.125,0
BJ Penn,Nick Diaz,False,Welterweight,Orthodox,Southpaw,1,-15.23999999999998,-10.159999999999997,-30,4,6,4,5.199999999999996,0.14899999999999997,-0.6,-0.050000000000000044,0.10250000000000004,0
Nick Diaz,BJ Penn,False,Welterweight,Southpaw,Orthodox,1,15.23999999999998,10.159999999999997,30,-4,-6,-4,-5.199999999999996,-0.14899999999999997,0.6,0.050000000000000044,-0.10250000000000004,1
Cheick Kongo,Matt Mitrione,False,Heavyweight,Orthodox,Switch,1,7.6200000000000045,2.539999999999992,-25,3,4,5,-2.8999999999999986,0.048428570999999976,-0.5857142860000001,1.571428571,0.445714286,1
